Task,Predicted Category
Help patient apply for Medicaid renewal paperwork,Social Stability
Discuss side effects of switching from oral risperidone to Invega Sustenna,Medication Adherence
Assist patient with arranging a follow-up appointment with PCP,External Clinicians
Encourage patient to attend weekly peer recovery meetings,Individual Agency
Support patient in applying for Section 8 housing voucher,Social Stability
Help patient set up medication reminders on smartphone,Medication Adherence
Talk to patient about safety planning after recent hospitalization,Clinical Stability
Help patient schedule dental cleaning with new provider,External Clinicians
Assist patient in reapplying for lost ID card,Social Stability
Educate patient about why keeping medical appointments matters,Clinical Stability
Coach patient on discussing symptoms with psychiatrist,Clinical Stability
Address patient concerns about diabetes management medication,Medication Adherence
Connect patient with legal aid services for disability benefits appeal,Social Stability
Discuss impact of stopping medication suddenly without provider input,Medication Adherence
Help patient identify early warning signs of psychiatric relapse,Clinical Stability
